"id","name","is_metropolitan","plate_number"
"1","Adana","1","01"
"2","Adıyaman","0","02"
"3","Afyonkarahisar","0","03"
"4","Ağrı","0","04"
"5","Amasya","0","05"
"6","Ankara","1","06"
"7","Antalya","1","07"
"8","Artvin","0","08"
"9","Aydın","1","09"
"10","Balıkesir","1","10"
"11","Bilecik","0","11"
"12","Bingöl","0","12"
"13","Bitlis","0","13"
"14","Bolu","0","14"
"15","Burdur","0","15"
"16","Bursa","1","16"
"17","Çanakkale","0","17"
"18","Çankırı","0","18"
"19","Çorum","0","19"
"20","Denizli","1","20"
"21","Diyarbakır","1","21"
"22","Edirne","0","22"
"23","Elazığ","0","23"
"24","Erzincan","0","24"
"25","Erzurum","1","25"
"26","Eskişehir","1","26"
"27","Gaziantep","1","27"
"28","Giresun","0","28"
"29","Gümüşhane","0","29"
"30","Hakkari","0","30"
"31","Hatay","1","31"
"32","Isparta","0","32"
"33","Mersin","1","33"
"34","İstanbul","1","34"
"35","İzmir","1","35"
"36","Kars","0","36"
"37","Kastamonu","0","37"
"38","Kayseri","1","38"
"39","Kırklareli","0","39"
"40","Kırşehir","0","40"
"41","Kocaeli","1","41"
"42","Konya","1","42"
"43","Kütahya","0","43"
"44","Malatya","1","44"
"45","Manisa","1","45"
"46","Kahramanmaraş","1","46"
"47","Mardin","1","47"
"48","Muğla","1","48"
"49","Muş","0","49"
"50","Nevşehir","0","50"
"51","Niğde","0","51"
"52","Ordu","1","52"
"53","Rize","0","53"
"54","Sakarya","1","54"
"55","Samsun","1","55"
"56","Siirt","0","56"
"57","Sinop","0","57"
"58","Sivas","0","58"
"59","Tekirdağ","1","59"
"60","Tokat","0","60"
"61","Trabzon","1","61"
"62","Tunceli","0","62"
"63","Şanlıurfa","1","63"
"64","Uşak","0","64"
"65","Van","1","65"
"66","Yozgat","0","66"
"67","Zonguldak","0","67"
"68","Aksaray","0","68"
"69","Bayburt","0","69"
"70","Karaman","0","70"
"71","Kırıkkale","0","71"
"72","Batman","0","72"
"73","Şırnak","0","73"
"74","Bartın","0","74"
"75","Ardahan","0","75"
"76","Iğdır","0","76"
"77","Yalova","0","77"
"78","Karabük","0","78"
"79","Kilis","0","79"
"80","Osmaniye","0","80"
"81","Düzce","0","81"
